ess8_id,cntry,ess8_reg,nuts1,nuts2,nuts3,lrscale,rlgdgr,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,
BE000001868,BE,BE22,BE2,BE22,,4,3,3,5,1,2,2,2,3,2,1,2,3,1,1,2,4,1,3,1,2,2,2,
BE000001869,BE,BE23,BE2,BE23,,4,1,2,4,2,2,3,3,4,3,3,2,3,2,2,4,3,2,2,1,2,1,3,
BE000001870,BE,BE22,BE2,BE22,,5,0,5,2,2,5,2,2,5,2,2,5,1,2,3,5,5,2,2,2,1,1,5,
BE000001871,BE,BE23,BE2,BE23,,10,0,2,2,2,4,5,2,3,2,1,2,1,3,3,2,1,3,5,1,1,1,1,
BE000001873,BE,BE32,BE3,BE32,,5,7,3,4,3,3,2,3,3,2,3,4,3,2,4,2,5,3,4,2,2,3,3,
BE000001874,BE,BE32,BE3,BE32,,2,8,3,4,1,6,4,3,4,1,1,3,1,1,6,2,6,5,6,1,2,6,3,
BE000001877,BE,BE21,BE2,BE21,,4,1,2,4,2,1,3,3,2,2,3,3,1,3,4,1,3,3,4,1,1,4,2,
BE000001878,BE,BE21,BE2,BE21,,6,2,3,3,2,5,3,4,5,4,3,3,3,4,6,5,6,1,6,2,4,4,3,
BE000001880,BE,BE10,BE1,BE10,,7,0,3,5,3,5,3,3,4,5,3,3,1,3,4,3,3,4,2,2,2,4,3,
BE000001881,BE,BE32,BE3,BE32,,5,10,1,4,1,2,1,1,4,2,2,2,1,1,1,1,1,2,1,1,1,1,1,
BE000001882,BE,BE21,BE2,BE21,,6,0,3,3,2,3,4,2,6,3,4,2,3,3,2,2,1,3,2,2,2,5,3,
BE000001891,BE,BE23,BE2,BE23,,3,0,4,3,3,2,3,5,4,4,1,1,2,2,2,3,2,4,3,2,3,2,1,
BE000001893,BE,BE32,BE3,BE32,,5,0,4,5,5,5,4,2,5,2,5,1,5,5,3,5,3,3,5,2,5,2,2,
BE000001894,BE,BE21,BE2,BE21,,2,2,3,5,2,2,4,3,3,3,3,3,1,1,3,2,2,4,3,1,3,5,2,
BE000001896,BE,BE32,BE3,BE32,,3,8,1,2,1,2,1,1,2,1,3,1,1,1,3,2,2,3,3,1,3,5,1,
BE000001897,BE,BE31,BE3,BE31,,77,10,3,5,1,3,2,3,2,2,2,5,3,2,3,2,5,2,2,2,2,5,5,
BE000001898,BE,BE31,BE3,BE31,,2,5,2,6,2,3,2,2,6,2,3,1,1,1,3,1,4,5,4,1,1,1,1,
BE000001903,BE,BE25,BE2,BE25,,88,3,3,4,3,3,2,3,2,3,3,4,3,3,4,2,3,3,3,2,2,2,2,
